GeoKey,Market,Region,Country
1,Africa,Central Africa,Angola
2,Africa,Central Africa,Cameroon
3,Africa,Central Africa,Central African Republic
4,Africa,Central Africa,Chad
5,Africa,Central Africa,Democratic Republic of the Congo
6,Africa,Central Africa,Equatorial Guinea
7,Africa,Central Africa,Gabon
8,Africa,Central Africa,Republic of the Congo
9,Africa,East Africa,Burundi
10,Africa,East Africa,Djibouti
11,Africa,East Africa,Eritrea
12,Africa,East Africa,Ethiopia
13,Africa,East Africa,Kenya
14,Africa,East Africa,Madagascar
15,Africa,East Africa,Mozambique
16,Africa,East Africa,Rwanda
17,Africa,East Africa,Somalia
18,Africa,East Africa,South Sudan
19,Africa,East Africa,Tanzania
20,Africa,East Africa,Uganda
21,Africa,East Africa,Zambia
22,Africa,East Africa,Zimbabwe
23,Africa,North Africa,Algeria
24,Africa,North Africa,Egypt
25,Africa,North Africa,Libya
26,Africa,North Africa,Morocco
27,Africa,North Africa,Sudan
28,Africa,North Africa,Tunisia
29,Africa,Southern Africa,Botswana
30,Africa,Southern Africa,Eswatini
31,Africa,Southern Africa,Lesotho
32,Africa,Southern Africa,Namibia
33,Africa,Southern Africa,South Africa
34,Africa,West Africa,Benin
35,Africa,West Africa,Burkina Faso
36,Africa,West Africa,Côte d'Ivoire
37,Africa,West Africa,Gambia
38,Africa,West Africa,Ghana
39,Africa,West Africa,Guinea
40,Africa,West Africa,Guinea-Bissau
41,Africa,West Africa,Liberia
42,Africa,West Africa,Mali
43,Africa,West Africa,Mauritania
44,Africa,West Africa,Niger
45,Africa,West Africa,Nigeria
46,Africa,West Africa,Senegal
47,Africa,West Africa,Sierra Leone
48,Africa,West Africa,Togo
49,Africa,West Africa,Western Sahara
50,Europe,Eastern Europe,Belarus
51,Europe,Eastern Europe,Bulgaria
52,Europe,Eastern Europe,Czech Republic
53,Europe,Eastern Europe,Hungary
54,Europe,Eastern Europe,Moldova
55,Europe,Eastern Europe,Poland
56,Europe,Eastern Europe,Romania
57,Europe,Eastern Europe,Russia
58,Europe,Eastern Europe,Serbia
59,Europe,Eastern Europe,Slovakia
60,Europe,Eastern Europe,Ukraine
61,Europe,Northern Europe,Denmark
62,Europe,Northern Europe,Estonia
63,Europe,Northern Europe,Finland
64,Europe,Northern Europe,Ireland
65,Europe,Northern Europe,Lithuania
66,Europe,Northern Europe,Norway
67,Europe,Northern Europe,Sweden
68,Europe,Northern Europe,United Kingdom
69,Europe,Southern Europe,Albania
70,Europe,Southern Europe,Bosnia and Herzegovina
71,Europe,Southern Europe,Croatia
72,Europe,Southern Europe,Cyprus
73,Europe,Southern Europe,Greece
74,Europe,Southern Europe,Italy
75,Europe,Southern Europe,Montenegro
76,Europe,Southern Europe,North Macedonia
