ProductKey,Product,Category,Department,ListPrice,Catalogue
19,Nike Men's Fingertrap Max Training Shoe,Soccer,Fitness,124.99,On sale 2015-17
24,Elevation Training Mask 2.0,Soccer,Fitness,79.99,On sale 2015-17
35,adidas Brazuca 2014 Official Match Ball,Baseball & Softball,Fitness,159.99,On sale 2015-17
37,adidas Kids' F5 Messi FG Soccer Cleat,Baseball & Softball,Fitness,34.99,On sale 2015-17
44,adidas Men's F10 Messi TRX FG Soccer Cleat,Baseball & Softball,Fitness,59.99,On sale 2015-17
58,Diamondback Boys' Insight 24 Performance Hybr,Basketball,Fitness,299.99,On sale 2015-17
60,SOLE E25 Elliptical,Basketball,Fitness,999.99,On sale 2015-17
61,Diamondback Girls' Clarity 24 Hybrid Bike 201,Basketball,Fitness,299.99,On sale 2015-17
78,Nike Kids' Grade School KD VI Basketball Shoe,Lacrosse,Fitness,99.99,On sale 2015-17
93,Under Armour Men's Tech II T-Shirt,Lacrosse,Fitness,24.99,On sale 2015-17
116,Nike Men's Comfort 2 Slide,Tennis & Racquet,Fitness,44.99,On sale 2015-17
127,Stiga Master Series ST3100 Competition Indoor,Hockey,Fitness,329.99,On sale 2015-17
134,Nike Women's Legend V-Neck T-Shirt,Hockey,Fitness,25.0,On sale 2015-17
135,Nike Dri-FIT Crew Sock 6 Pack,Hockey,Fitness,22.0,On sale 2015-17
172,Nike Women's Tempo Shorts,Cardio Equipment,Footwear,30.0,On sale 2015-17
191,Nike Men's Free 5.0+ Running Shoe,Cardio Equipment,Footwear,99.99,On sale 2015-17
203,GoPro HERO3+ Black Edition Camera,Strength Training,Footwear,399.99,On sale 2015-17
208,SOLE E35 Elliptical,Strength Training,Footwear,1999.99,On sale 2015-17
216,Yakima DoubleDown Ace Hitch Mount 4-Bike Rack,Strength Training,Footwear,189.0,On sale 2015-17
226,Bowflex SelectTech 1090 Dumbbells,Fitness Accessories,Footwear,599.99,On sale 2015-17
235,Under Armour Hustle Storm Medium Duffle Bag,Fitness Accessories,Footwear,34.99,On sale 2015-17
249,Under Armour Women's Micro G Skulpt Running S,Boxing & MMA,Footwear,54.97,On sale 2015-17
251,Brooks Women's Ghost 6 Running Shoe,Boxing & MMA,Footwear,89.99,On sale 2015-17
258,Nike Women's Free 5.0 TR FIT PRT 4 Training S,Boxing & MMA,Footwear,94.99,On sale 2015-17
273,Under Armour Kids' Mercenary Slide,Electronics,Footwear,27.99,On sale 2015-17
276,Under Armour Women's Ignite Slide,Electronics,Footwear,31.99,On sale 2015-17
278,Under Armour Men's Compression EV SL Slide,Electronics,Footwear,44.99,On sale 2015-17
282,Under Armour Women's Ignite PIP VI Slide,Electronics,Footwear,31.99,On sale 2015-17
295,Fitbit The One Wireless Activity & Sleep Trac,Kids' Golf Clubs,Outdoors,99.95,On sale 2015-17
303,Garmin Forerunner 910XT GPS Watch,Kids' Golf Clubs,Outdoors,399.99,On sale 2015-17
305,Mio ALPHA Heart Rate Monitor/Sport Watch,Kids' Golf Clubs,Outdoors,199.0,On sale 2015-17
306,Polar FT4 Heart Rate Monitor,Kids' Golf Clubs,Outdoors,89.99,On sale 2015-17
311,Polar Loop Activity Tracker,Kids' Golf Clubs,Outdoors,109.95,On sale 2015-17
359,Nike Men's Free TR 5.0 TB Training Shoe,As Seen on TV!,Footwear,99.99,On sale 2015-17
364,Total Gym 1400,Cleats,Apparel,299.99,On sale 2015-17
365,Perfect Fitness Perfect Rip Deck,Cleats,Apparel,59.99,On sale 2015-17
403,Nike Men's CJ Elite 2 TD Football Cleat,Men's Footwear,Apparel,129.99,On sale 2015-17
502,Nike Men's Dri-FIT Victory Golf Polo,Women's Apparel,Golf,50.0,On sale 2015-17
564,Nike Men's Deutschland Weltmeister Winners Bl,Girls' Apparel,Golf,30.0,On sale 2015-17
565,adidas Youth Germany Black/Red Away Match Soc,Girls' Apparel,Golf,70.0,On sale 2015-17
567,adidas Men's Germany Black Crest Away Tee,Girls' Apparel,Golf,25.0,On sale 2015-17
572,TYR Boys' Team Digi Jammer,Girls' Apparel,Golf,39.99,On sale 2015-17
607,Garmin Approach S3 Golf GPS Watch,Trade-In,Outdoors,249.99,On sale 2015-17
625,Nike Men's Kobe IX Elite Low Basketball Shoe,Shop By Sport,Golf,199.99,On sale 2015-17
627,Under Armour Girls' Toddler Spine Surge Runni,Shop By Sport,Golf,39.99,On sale 2015-17
642,Columbia Men's PFG Anchor Tough T-Shirt,Shop By Sport,Golf,30.0,On sale 2015-17
