LineID,OrderID,Date,ShipDate,CustomerKey,ProductKey,GeoKey,ModeKey,OutcomeKey,PromisedDays,ActualDays,DaysLate,IsLate,Quantity,UnitPrice,GrossSales,DiscountRate,Discount,NetSales,Profit
178397,75082,2018-01-01,2018-01-03,18635,1354,121,2,14,1,2,1,Yes,1,164.38,164.38,0.16,26.3,138.08,10.36
178398,75083,2018-01-01,2018-01-03,18636,1354,139,2,9,1,2,1,Yes,1,164.38,164.38,0.15,24.66,139.72,36.33
178399,75084,2018-01-01,2018-01-03,18637,1354,143,2,14,1,2,1,Yes,1,164.38,164.38,0.13,21.37,143.01,37.18
178400,75085,2018-01-01,2018-01-03,18638,1354,127,2,10,1,2,1,Yes,1,164.38,164.38,0.12,19.73,144.65,12.73
178401,75086,2018-01-01,2018-01-03,18639,1354,127,2,10,1,2,1,Yes,1,164.38,164.38,0.1,16.44,147.94,51.78
178402,75087,2018-01-01,2018-01-03,18640,1354,139,2,14,1,2,1,Yes,1,164.38,164.38,0.09,14.79,149.59,62.83
178403,75088,2018-01-01,2018-01-03,18641,1354,121,2,10,1,2,1,Yes,1,164.38,164.38,0.07,11.51,152.87,42.8
178404,75089,2018-01-01,2018-01-03,18642,1355,131,2,12,1,2,1,Yes,1,532.58,532.58,0.05,26.63,505.95,-113.84
178405,75090,2018-01-01,2018-01-07,18643,1355,139,3,14,2,6,4,Yes,1,532.58,532.58,0.04,21.3,511.28,-38.35
178406,75091,2018-01-01,2018-01-03,18644,1355,139,2,9,1,2,1,Yes,1,532.58,532.58,0.03,15.98,516.6,-189.59
178407,75092,2018-01-01,2018-01-03,18645,1355,127,2,12,1,2,1,Yes,1,532.58,532.58,0.02,10.65,521.93,-365.35
178408,75093,2018-01-01,2018-01-05,18646,1355,127,3,14,2,4,2,Yes,1,532.58,532.58,0.01,5.33,527.25,131.81
178409,75094,2018-01-01,2018-01-06,18647,1355,127,4,8,4,5,1,Yes,1,532.58,532.58,0.0,0.0,532.58,244.99
178410,75095,2018-01-01,2018-01-07,18648,1355,127,4,9,4,6,2,Yes,1,532.58,532.58,0.25,133.15,399.44,179.75
